dep_anthropic,dep_anthropic_node,dep_axios,dep_chartjs,dep_chromadb,dep_dotenv,dep_express,dep_fastapi,dep_flask,dep_google_auth_library,dep_gradio,dep_httpx,dep_langchain,dep_langchainjs,dep_llamaindex,dep_mongoose,dep_nextjs,dep_node_core,dep_numpy,dep_openai,dep_openai_node,dep_os_pathlib,dep_pandas,dep_plotlyjs,dep_prisma,dep_pydantic,dep_react,dep_react_chartjs_2,dep_react_plotlyjs,dep_requests,dep_socketio,dep_sqlalchemy,dep_sqlite3,dep_streamlit,dep_stripe,dep_supabase,dep_supabase_js,dep_svelte,dep_tailwindcss,dep_threejs,dep_zod,dep_count,loc,file_count,files_failed,has_server_framework,language,arch_dashboard,arch_api_service,arch_data_pipeline,arch_cli_tool,arch_chatbot,arch_web_app,arch_ml_model,arch_general,repo_age_days,target_application_server_could_not_start,target_data_volume_scaling_pandas,target_response_time_degradation_on_your_application,target_cache_memory_growth_streamlit,target_array_size_scaling_numpy,target_computation_coupling_clear_timeout,target_general_stress_test_unrecognized_dependencies,target_validation_throughput_pydantic,target_dependency_installation_failed,target_n_plus_one_detection_sqlalchemy,target_scenario_failed_pandas_edge_case_dtypes,target_async_concurrent_load_httpx,target_get_root_http,target_memory_crash_on_data_operations_pandas,target_application_degrades_under_concurrent_load,target_concurrent_request_load_requests,target_memory_profiling_over_time_pandas,target_merge_memory_stress_pandas,target_response_time_degradation_on_admin,target_scenario_failed_pandas_iterrows_vs_vectorized,target_repeated_allocation_memory_numpy,target_env_validation_dotenv,target_js_query_throughput_supabase,target_scenario_failed_requests_large_download_memory,target_chain_length_scaling_langchain,target_scenario_failed_requests_timeout_behavior,target_concurrent_request_load_axios,target_scenario_failed_requests_session_vs_individual_performance,target_rate_limit_stress_openai,target_numpy_2_0_compatibility_numpy,target_connection_pool_stress_prisma,target_scenario_failed_unrecognized_deps_generic_stress,target_memory_crash_on_array_allocation_numpy,target_validation_throughput_zod,target_silent_number_overflow_numpy,target_scenario_failed_numpy_dtype_edge_cases,target_failure_indicators_triggered_numpy_numpy_2_breaking_changes_check,target_scenario_failed_pandas_concurrent_dataframe_access,target_silent_data_corruption_risk_pandas,target_get_health_http
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,336,3,0,0,0,0,0,1,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,118,6,0,0,1,0,1,0,0,0,0,0,0,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,86,1,0,1,0,1,0,0,0,0,0,0,0,35,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,1,0,0,0,0,0,0,0,0,0,0,0,55,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3563,49,0,1,1,0,0,0,0,0,1,0,0,55,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,111,59352,369,0,0,1,0,0,0,0,0,1,0,0,55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,763,2,0,1,0,1,0,0,0,0,0,0,0,16,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,751,8,0,0,1,0,0,0,0,0,1,0,0,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,367,9,0,0,1,0,0,0,0,0,1,0,0,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,271,1,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
